mean_neighbors,total_edges,largest_comp,n_components,euler,PC1,PC2,kappa
0.6666666666666666,1,2,2,3,-2.5984871,1.0504836,67.86917861659808
0.6666666666666666,1,2,2,3,-2.1016443,1.1955105,68.17156890475455
0.6666666666666666,1,2,2,2,-1.0565567,0.5289023,68.46701553760442
0.0,0,1,2,3,0.1990698,1.7767761,68.7335672450982
1.3333333333333333,2,3,1,2,-0.30845153,1.1362629,69.02418196914626
0.6666666666666666,1,2,2,3,0.55066884,1.6247903,69.35818779270573
0.0,0,1,2,3,-4.789153,0.1377321,69.63778729064528
0.6666666666666666,1,2,2,2,3.7696776,2.6611207,69.94680205565952
0.6666666666666666,1,2,2,3,-3.700826,0.30430052,70.09305151484573
0.0,0,1,2,6,-11.483254,-1.6216962,70.48539354716948
1.0,1,2,1,4,-5.703132,-0.448697,70.84088034177137
0.0,0,1,2,4,-2.5824528,1.2117147,71.07785402961623
0.6666666666666666,1,2,2,2,-2.828191,0.19961692,71.23346482877804
0.0,0,1,2,4,-5.1897373,-0.17342027,71.73570312926603
0.0,0,1,2,6,-2.9150813,0.87536204,71.9333197145282
0.0,0,1,2,8,-1.5703865,1.2866986,72.233891415193
0.0,0,1,2,8,1.6733431,2.5163672,72.57224571565222
1.0,1,2,1,1,2.551065,2.8187892,72.84452227295053
0.0,0,1,2,2,-2.3452084,1.3766531,73.14445993780492
0.0,0,1,2,6,-5.2235312,-0.093819454,73.43655041169222
0.0,0,1,2,6,-7.275273,-0.37158665,73.70421799359052
0.0,0,1,2,5,1.5371032,2.3210123,73.99924628408934
0.0,0,1,2,6,-0.08831195,1.8311323,74.29274802619528
0.0,0,1,2,6,-8.809182,-1.2559898,74.59645276839129
1.3333333333333333,2,3,1,1,-4.9772205,-0.010361849,74.83363669905732
0.0,0,1,2,4,-0.45341974,1.5014315,75.18345327901973
0.6666666666666666,1,2,2,4,-4.523539,-0.23642348,75.44904488163786
0.0,0,1,2,5,-3.4260178,0.9921602,75.75134630821776
0.0,0,1,2,5,-1.449229,1.4658254,76.04322504806348
0.0,0,1,2,4,-1.1563283,1.7339011,76.40943257346555
0.0,0,1,2,4,-2.0469282,0.5434721,76.62294920781554
0.0,0,1,2,4,-0.17224212,1.9531009,76.8995861773299
0.0,0,1,2,3,-2.0875192,1.3251325,77.33824671111962
0.0,0,1,2,4,0.21050519,2.0231006,77.52585355844647
0.0,0,1,2,4,-3.5533605,0.68904656,77.69699170571242
0.0,0,1,2,4,-3.615425,0.8628335,78.04501690408534
0.0,0,1,2,6,-9.3776,-1.0596312,78.46780013834294
0.0,0,1,2,3,-3.2228377,0.842349,78.63676923276229
0.0,0,1,2,3,-9.785392,-1.326778,79.21625986563805
0.0,0,1,2,3,0.41580144,2.4409614,79.52103632392787
0.0,0,1,2,2,-4.313518,0.39726156,79.95410095372658
1.0,1,2,1,2,-7.4140058,-0.7696707,80.1304191339198
0.0,0,1,2,4,3.1995206,2.910865,80.36883381527352
1.0,1,2,1,4,-7.478559,-0.94630015,80.52214359267153
0.0,0,1,2,4,-3.4217455,0.67126656,81.0426937894348
0.0,0,1,2,4,1.5814941,2.7349343,82.75033561175667
1.0,1,2,1,4,-6.0770106,-0.53594124,82.93627649620625
1.0,1,2,1,2,1.6625932,2.8377995,83.30321149734058
1.0,1,2,1,4,-2.5269384,1.2166523,83.70486274531241
1.0,1,2,1,2,-3.235508,0.7224769,84.04630944447644
1.0,1,2,1,2,5.6600575,4.1274543,85.9598838586675
1.0,1,2,1,2,2.878897,2.3895266,86.26796314760317
0.0,0,1,2,2,-2.3350463,1.1408637,86.77420703581771
1.0,1,2,1,2,-4.723111,-0.15716246,86.92620754061937
1.0,1,2,1,1,-2.2353804,1.1264498,87.1599510578398
1.0,1,2,1,1,0.99733627,2.3671653,87.43872431057233
0.0,0,1,1,4,-5.437939,0.098068334,90.87158483582225
0.0,0,1,1,4,-5.437939,0.098068334,90.87158483582226
0.0,0,1,1,4,-5.080933,0.052180808,91.12143506559345
0.0,0,1,1,2,-5.5062966,0.40158308,91.47907662482079
0.0,0,1,1,4,-2.7140493,1.5036908,91.89707954190538
0.0,0,1,1,1,-5.268192,0.637293,93.77753077532569
0.0,0,1,1,2,-2.882748,1.4559345,93.90641628134426
0.0,0,1,1,4,-4.815919,0.34819096,94.07365519565255
0.0,0,1,1,4,0.6568805,2.5446231,94.74249932762974
0.0,0,1,1,4,0.6568805,2.5446231,94.74249932762976
0.0,0,1,1,4,1.6979578,2.883142,94.86087957467866
0.0,0,1,1,4,-7.4418826,-0.6618296,96.35228857796518
0.0,0,1,1,4,-5.638007,0.594859,97.21617638447665
0.0,0,1,1,2,-3.1115017,1.156576,97.49886909448304
0.0,0,1,1,2,-1.6014304,1.798331,97.83437989437923
0.0,0,1,1,2,-5.5965705,0.28831547,97.86503636948285
0.0,0,1,1,1,-1.091832,1.683025,98.65245685832548
0.0,0,1,1,1,-1.091832,1.683025,98.6524568583255
0.0,0,0,0,0,-2.4815502,1.9653305,157.07577051605483
